gene_name,interaction_type,drug_name,approved
CHRM4,NULL,METHACHOLINE CHLORIDE,TRUE
PTEN,NULL,E6201,FALSE
NFE2L2,NULL,"PYRROLIDINE DITHIOCARBAMIC ACID, AMMONIUM SALT",FALSE
GRIA1,NULL,PHENOBARBITAL,TRUE
IMPDH2,inhibitor,MYCOPHENOLATE,TRUE
CYP3A4,NULL,AM404,FALSE
NMUR2,agonist,CPN-219,FALSE
HCN4,blocker,IVABRADINE HYDROCHLORIDE,TRUE
AR,agonist,METHANDROSTENOLONE,TRUE
CYP2C19,NULL,PSORA-4,FALSE
EHMT2,NULL,CGS 15943,FALSE
TNF,NULL,OZORALIZUMAB,FALSE
CYP3A4,NULL,QUININE,TRUE
ADRA1D,NULL,DOXAZOSIN MESYLATE,TRUE
ABCC6,inhibitor,"[PHAA1,D-TYR(ET)2,VAL4,LYS6,TYR-NH28,DES-GLY9]AVP",FALSE
SYK,NULL,CYC-116,FALSE
KCNJ11,potentiator,DIAZOXIDE,TRUE
RPSA,inhibitor,AMIKACIN,TRUE
CHRNB2,modulator,ABT-560,FALSE
DHCR24,inhibitor,TRIPARANOL,TRUE
USP2,NULL,SURAMIN,FALSE
BLM,NULL,CHEMBL:CHEMBL211670,FALSE
EHMT2,NULL,CHEMBL:CHEMBL547304,FALSE
APOB,NULL,DEXAMETHASONE,TRUE
VDR,NULL,THYMOL IODIDE,TRUE
OSM,NULL,TNF-ALPHA,FALSE
MET,NULL,FORETINIB,FALSE
HSD17B10,NULL,MANGOSTIN,FALSE
AR,NULL,DANAZOL,TRUE
A1BG,inhibitor,(-)-TERTATOLOL,FALSE
ERBB2,NULL,CHLORAMBUCIL,TRUE
YES1,NULL,CEDIRANIB,FALSE
GRIK2,NULL,BUTABARBITAL,TRUE
CYP3A4,NULL,CHEMBL:CHEMBL585045,FALSE
HSD3B1,NULL,TRILOSTANE,TRUE
CYP2C9,NULL,KAEMPHEROL,FALSE
FOS,inhibitor,ODANACATIB,FALSE
ABR,agonist,BI-167107,FALSE
DHFR,inhibitor,TRIMETREXATE,TRUE
GABRA5,positive modulator,PAGOCLONE,FALSE
KEAP1,NULL,SAPANISERTIB,TRUE
IFNL3,NULL,LEDIPASVIR,TRUE
GPC3,inhibitor,CODRITUZUMAB,FALSE
CXCL8,NULL,PAMIDRONATE,TRUE
HSP90AA1,NULL,CHEMBL:CHEMBL582983,FALSE
PIK3R5,inhibitor,PAXALISIB,FALSE
ABCA2,inhibitor,BW-A1433,FALSE
SFTPA1,NULL,HEPARIN,TRUE
AVPR1A,NULL,CONIVAPTAN,TRUE
AGTR1,NULL,TASOSARTAN,FALSE
DCR,inhibitor,MARIMASTAT,FALSE
GLP1R,NULL,CHEMBL:CHEMBL1520282,FALSE
PPARG,modulator,ARHALOFENATE,FALSE
GBA1,NULL,GW405833,FALSE
